Symbol,shortName,fullTimeEmployees,logo_url,company_sector_dim.Index,Index_Loc
CPRT,"Copart, Inc.",8600,https://logo.clearbit.com/copart.com,60,36
ATVI,"Activision Blizzard, Inc",9800,https://logo.clearbit.com/activisionblizzard.com,35,37
CMS,CMS Energy Corporation,8504,https://logo.clearbit.com/cmsenergy.com,14,68
AVY,Avery Dennison Corporation,36000,https://logo.clearbit.com/averydennison.com,37,38
AWK,"American Water Works Company, I",6400,https://logo.clearbit.com/amwater.com,38,39
CPB,Campbell Soup Company,14100,https://logo.clearbit.com/campbellsoupcompany.com,45,39
BALL,Ball Corporation,24300,https://logo.clearbit.com/ball.com,24,41
BAX,Baxter International Inc.,60000,https://logo.clearbit.com/baxter.com,42,42
CAT,"Caterpillar, Inc.",107700,https://logo.clearbit.com/caterpillar.com,47,42
CF,"CF Industries Holdings, Inc.",2970,https://logo.clearbit.com/cfindustries.com,52,42
FBHS,"Fortune Brands Home & Security,",28000,https://logo.clearbit.com/fbhs.com,74,42
BDX,"Becton, Dickinson and Company",75000,https://logo.clearbit.com/bd.com,42,44
BEN,"Franklin Resources, Inc.",10400,https://logo.clearbit.com/franklinresources.com,26,45
ESS,"Essex Property Trust, Inc.",1739,https://logo.clearbit.com/essexapartmenthomes.com,36,45
BRO,"Brown & Brown, Inc.",12023,https://logo.clearbit.com/bbinsurance.com,19,49
BKNG,Booking Holdings Inc. Common St,20097,https://logo.clearbit.com/bookingholdings.com,43,47
